,CellType,Area,MajAxisLength
0,Type1,5337.0,96.52103077454262
1,Type1,3262.0,95.22446646903107
2,Type1,5762.0,112.76739928910641
3,Type1,4017.0,82.5457261557565
4,Type1,6003.0,100.76257254828727
5,Type1,4720.0,86.14615112952238
6,Type1,9799.0,116.26499630072968
7,Type1,5697.0,106.63224351764366
8,Type1,6193.0,103.71280244851367
9,Type1,5321.0,89.632655712873
10,Type1,6485.0,107.26779446053781
11,Type1,7022.0,111.0841415342226
12,Type1,4750.0,101.80343434367916
13,Type1,6649.0,114.01942306331313
14,Type1,3391.0,81.86618321870189
15,Type1,4615.0,105.92211639749675
16,Type1,4020.0,91.25263987646977
17,Type1,5653.0,108.51025581258796
18,Type1,6048.0,105.10939465807857
19,Type1,5681.0,114.67620218792425
20,Type1,3672.0,93.86414018727221
21,Type1,3908.0,83.48051404799132
22,Type1,5078.0,94.4367845029211
23,Type1,4590.0,88.78597439903358
24,Type1,4711.0,92.40993256609998
25,Type1,5372.0,107.8556123000465
26,Type1,4194.0,93.2023768156543
27,Type1,5697.0,120.25048701877921
28,Type1,6733.0,105.1321383963044
29,Type1,5825.0,96.64248496294093
30,Type1,6334.0,103.67336866887199
31,Type1,6761.0,116.44021848447026
32,Type1,5487.0,99.51969719252756
33,Type1,7079.0,117.46668186374117
34,Type1,5056.0,95.61364277976811
35,Type1,75.0,11.833394454044868
36,Type1,2997.0,79.72308541961155
37,Type1,4637.0,99.23630712878895
38,Type1,3877.0,85.12196565255597
39,Type1,6761.0,108.4251292807127
40,Type1,6287.0,110.60790698726312
41,Type1,4557.0,92.60169862018114
42,Type1,4400.0,102.2107268482133
43,Type1,3778.0,87.07272943451326
44,Type1,6185.0,103.34526454313801
45,Type1,4672.0,98.08786695931038
46,Type1,147.0,25.91078983085659
47,Type1,5249.0,105.57808488413326
48,Type1,4906.0,98.59811581301351
49,Type1,5612.0,100.27900256245057
50,Type1,4039.0,84.9829247932182
51,Type1,4471.0,80.59134870230565
52,Type1,6161.0,119.17079027854297
53,Type1,5690.0,103.97725332653603
54,Type2,3745.0,92.55686252081456
55,Type2,2552.0,66.16315293783298
56,Type2,2597.0,64.85371871433364
57,Type2,3093.0,78.08663675683233
58,Type2,4451.0,94.26618722810103
59,Type2,3282.0,67.75185720755285
60,Type2,3415.0,82.32138637079657
61,Type2,3659.0,99.45237004398386
62,Type2,3716.0,105.88668630575843
63,Type2,4817.0,89.19997876012512
64,Type2,3491.0,82.55976359610456
65,Type2,4587.0,91.48368376766565
66,Type2,3839.0,84.28289509845283
67,Type2,6034.0,117.5057783544699
68,Type2,3958.0,84.42757058011559
69,Type2,2502.0,83.52087729102648
70,Type2,4518.0,86.85989274320562
71,Type2,5079.0,91.32840412437764
72,Type2,4492.0,97.03414234740409
73,Type2,5170.0,93.74441801099047
74,Type2,4077.0,83.3181716491379
75,Type2,2954.0,70.99268616224464
76,Type2,5322.0,132.62957954824628
77,Type2,2507.0,81.93889907371171
78,Type2,4645.0,94.42669194590232
79,Type2,4822.0,96.45416999174593
80,Type2,3433.0,91.45273561480784
81,Type2,2132.0,100.15934161660125
82,Type2,4488.0,98.20498730599178
83,Type2,4084.0,92.80839697510983
84,Type2,6837.0,145.67133764328935
85,Type2,3124.0,87.48179255770268
86,Type2,3271.0,82.29254999016804
87,Type2,4185.0,95.29039001399583
88,Type2,3193.0,91.6638453313909
89,Type2,2622.0,75.79766703337582
90,Type2,8967.0,111.27582061668124
91,Type2,3961.0,79.81036138102286
92,Type2,3748.0,92.54425688004999
93,Type2,2555.0,66.34456996765604
94,Type2,2600.0,65.0802016140489
95,Type2,3097.0,78.43012599070641
96,Type2,4469.0,94.63566927782944
97,Type2,3127.0,87.12128613879051
98,Type2,3426.0,82.93081624477685
99,Type2,4367.0,95.11860799755063
100,Type2,3183.0,91.51842003495223
101,Type2,567.0,46.440959352218606
102,Type2,3768.0,79.57874218346014
103,Type2,3885.0,80.49621499978656
104,Type2,4180.0,90.13780922166374
105,Type2,2586.0,67.0495317297466
106,Type2,3516.0,77.47420701464182
107,Type2,4390.0,94.61481648291792
108,Type2,3783.0,79.2092026229513
109,Type2,3618.0,70.4495366530442
110,Type2,2752.0,69.85586015847949
111,Type2,3593.0,83.46620354397733
112,Type2,5009.0,89.32094674059775
113,Type2,3419.0,78.08048256109016
114,Type2,4220.0,92.13229710566316
115,Type2,3688.0,76.4773203840031
116,Type2,3937.0,85.58593557118431
117,Type2,3309.0,80.30438341741247
118,Type2,3822.0,75.43217443275645
119,Type2,1992.0,91.66797087699764
120,Type2,4038.0,100.43159911621055
121,Type2,2343.0,71.19943220981243
122,Type2,3404.0,77.46418874872627
123,Type2,3672.0,81.9732684701041
124,Type2,4166.0,90.00761139526475
125,Type2,3304.0,68.0971037189433
126,Type2,3398.0,82.02118696251513
127,Type2,3230.0,88.6342403637486
128,Type2,3340.0,83.20378610495428
129,Type2,4260.0,95.84285073470787
130,Type2,3246.0,92.46884925480124
131,Type2,3203.0,88.39776738663582
132,Type2,3362.0,83.30927108161904
133,Type2,4273.0,95.88460567966943
134,Type2,3216.0,92.18185505541493
135,Type2,2565.0,66.83247475247897
136,Type2,3508.0,77.49291310976547
137,Type2,4498.0,94.94382120238873
138,Type2,3766.0,79.23567720842856
139,Type2,3732.0,71.44252361898137
140,Type2,2743.0,69.7080592544333
141,Type2,4669.0,96.16413534601655
142,Type2,3791.0,79.44350480841817
143,Type2,3914.0,72.67445201238684
144,Type2,2746.0,69.54871572787071
145,Type2,4223.0,92.2503235871585
146,Type2,3710.0,76.59522839486611
147,Type2,3910.0,85.01367576402446
148,Type2,3259.0,79.91771352843098
149,Type2,3682.0,74.46378330421253
150,Type2,1933.0,91.23085773583547
151,Type2,4049.0,100.12181204211313
152,Type2,2441.0,70.80680058926073
